Element ,bubble sort,insertion sort,selection sort,quicksort,merge sort
12980,185616958,17659872,47750180,781998,1327450
13000,186383697,17879456,46114487,796178,1326692
13020,187124481,17699445,47131446,788610,1326721
13040,188334537,17912186,46733442,777012,1336569
13060,188342761,17955637,46405027,800249,1339253
13080,187511040,18190815,46499400,805776,1333589
13100,189131870,18026811,46658950,816209,1338659
13120,191034633,18155397,47608574,792323,1351938
13140,192418330,18202080,47961448,796862,1346437
13160,192726545,18536006,48258778,792991,1345401
13180,192418447,18210409,47160427,813545,1347995
13200,194745465,18438037,47649850,805882,1354199
13220,194295979,18372797,47814837,814554,1410523
13240,197684717,18443911,47638014,827204,1354032
13260,195488071,18559547,48474181,809180,1362071
